AssetName;NEGOTIATION_DATE;YEAR;MONTH;DAY;YEARMONTH;Open;High;Low;Close;Adj Close;Volume;ExtractionDate
PETR4.SA;2022-01-03;2022;01;03;2022-01;28.540000915527344;29.21999931335449;28.530000686645508;29.09000015258789;13.173103332519531;52704700;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-04;2022;01;04;2022-01;29.15999984741211;29.399999618530277;28.90999984741211;29.200000762939453;13.222914695739746;51739200;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-05;2022;01;05;2022-01;29.190000534057617;29.270000457763672;27.940000534057617;28.06999969482422;12.711203575134276;78459800;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-06;2022;01;06;2022-01;28.290000915527344;28.649999618530277;27.84000015258789;28.049999237060547;12.7021484375;61163100;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-07;2022;01;07;2022-01;28.11000061035156;28.290000915527344;27.81999969482422;28.18000030517578;12.76101779937744;47507600;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-10;2022;01;10;2022-01;27.989999771118164;28.239999771118164;27.71999931335449;28.01000022888184;12.684035301208496;37455200;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-11;2022;01;11;2022-01;28.100000381469727;29.06999969482422;27.850000381469727;28.84000015258789;13.059891700744627;73623800;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-12;2022;01;12;2022-01;28.950000762939453;29.90999984741211;28.950000762939453;29.71999931335449;13.45839023590088;81378200;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-13;2022;01;13;2022-01;29.530000686645508;30.6299991607666;29.5;30.31999969482422;13.730095863342283;76717500;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-14;2022;01;14;2022-01;30.280000686645508;31.600000381469727;30.239999771118164;31.450000762939453;14.241802215576172;96458800;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-17;2022;01;17;2022-01;31.399999618530277;31.809999465942383;31.25;31.5;14.264444351196287;35675900;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-18;2022;01;18;2022-01;31.559999465942383;31.979999542236328;30.96999931335449;31.63999938964844;14.32784366607666;78198800;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-19;2022;01;19;2022-01;31.899999618530277;32.209999084472656;31.440000534057617;31.489999771118164;14.259915351867676;77480200;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-20;2022;01;20;2022-01;31.5;32.0;31.11000061035156;31.71999931335449;14.364069938659668;85353100;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-21;2022;01;21;2022-01;31.56999969482422;31.8799991607666;31.530000686645508;31.770000457763672;14.386713981628418;61345400;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-24;2022;01;24;2022-01;31.690000534057617;32.25;31.040000915527344;31.950000762939453;14.468221664428713;79117100;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-25;2022;01;25;2022-01;31.700000762939453;33.22999954223633;31.57999992370605;32.9900016784668;14.939176559448242;98358500;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-26;2022;01;26;2022-01;33.29999923706055;34.27000045776367;33.29999923706055;33.869998931884766;15.337675094604492;98679900;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-27;2022;01;27;2022-01;34.25;34.63999938964844;33.16999816894531;33.880001068115234;15.342204093933104;90631000;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-28;2022;01;28;2022-01;33.79999923706055;34.349998474121094;32.220001220703125;32.540000915527344;14.735400199890137;117400500;2024-02-05 17:27:11.825727
PETR4.SA;2022-01-31;2022;01;31;2022-01;32.5;33.0;32.06999969482422;32.349998474121094;14.649357795715332;62450300;2024-02-05 17:27:11.825727
