Date;Open;High;Low;Close;Adj Close;Volume
2022-01-03;83500.1015625;85724.3984375;83500.1015625;85579.1015625;85579.1015625;0
2022-01-04;85579.1015625;86355.5;85002.5;85286.0;85286.0;0
2022-01-05;85286.0;85841.203125;83811.5;83835.703125;83835.703125;0
2022-01-06;83835.703125;84408.1015625;82671.8984375;83747.796875;83747.796875;0
2022-01-07;83761.3984375;84502.296875;83408.5;84402.1015625;84402.1015625;0
2022-01-10;84402.1015625;84421.203125;83351.8984375;83746.296875;83746.296875;0
2022-01-11;83746.296875;84840.296875;83599.703125;84702.296875;84702.296875;0
2022-01-12;84702.296875;85466.296875;84499.796875;85100.296875;85100.296875;0
2022-01-13;85100.296875;86743.796875;85088.6015625;85370.8984375;85370.8984375;0
2022-01-14;85370.8984375;85555.296875;84628.5;85481.1015625;85481.1015625;0
2022-01-17;85481.1015625;85481.1015625;84758.5;85038.796875;85038.796875;0
2022-01-18;85038.796875;85339.296875;83249.203125;83350.6015625;83350.6015625;0
2022-01-19;83350.6015625;84040.8984375;83157.6015625;83528.203125;83528.203125;0
2022-01-20;83528.203125;85674.0;83528.203125;85126.3984375;85126.3984375;0
2022-01-21;85126.3984375;85172.8984375;83382.3984375;83622.5;83622.5;0
2022-01-24;83622.5;83622.5;80403.3984375;81004.3984375;81004.3984375;0
2022-01-25;81004.3984375;85320.703125;80789.8984375;85180.3984375;85180.3984375;0
2022-01-26;85180.3984375;86614.296875;85180.3984375;85782.1015625;85782.1015625;0
2022-01-27;85782.1015625;86586.0;85319.296875;85968.796875;85968.796875;0
2022-01-28;85968.796875;90227.1015625;85968.796875;88269.796875;88269.796875;0
2022-01-31;88269.796875;91012.3984375;87937.3984375;90907.5;90907.5;0
2022-02-01;90907.5;91802.796875;88669.1015625;91416.6015625;91416.6015625;0
2022-02-02;91416.6015625;92732.3984375;89490.703125;89662.703125;89662.703125;0
2022-02-03;89662.703125;89813.0;87745.8984375;88091.296875;88091.296875;0
2022-02-04;88091.296875;88637.203125;87225.8984375;87934.0;87934.0;0
2022-02-07;87934.0;89438.8984375;87934.0;89189.1015625;89189.1015625;0
2022-02-08;89189.1015625;89877.1015625;88092.0;88149.203125;88149.203125;0
2022-02-09;88149.203125;89097.8984375;87309.296875;87393.1015625;87393.1015625;0
2022-02-10;87393.1015625;88463.0;86994.3984375;87559.3984375;87559.3984375;0
2022-02-11;87559.3984375;89904.5;87468.1015625;88185.0;88185.0;0
2022-02-14;88185.0;88773.703125;87321.5;87803.703125;87803.703125;0
2022-02-15;87803.703125;88824.8984375;87594.296875;88042.6015625;88042.6015625;0
2022-02-16;88042.6015625;90776.0;87991.6015625;90577.6015625;90577.6015625;0
2022-02-17;90577.6015625;91286.0;89977.8984375;89977.8984375;89977.8984375;0
2022-02-18;89977.8984375;90724.5;88325.296875;89443.203125;89443.203125;0
2022-02-21;89443.203125;90391.8984375;89333.296875;90029.5;90029.5;0
2022-02-22;90029.5;91166.3984375;89789.203125;90440.6015625;90440.6015625;0
2022-02-23;90440.6015625;91764.296875;89401.203125;91359.5;91359.5;0
2022-02-24;91359.5;91359.5;87311.5;88721.5;88721.5;0
2022-02-25;88721.5;89836.8984375;87785.5;87969.8984375;87969.8984375;0
